symbol,net_profitability_results_error_message,simulation_results_error_message,simulation_results_decision_outcome
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
LINK/USDT,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: LINK/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRO/USDT,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UOS/USDT,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POL/USDT,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UNI/USDT,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRO/USDT,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
OM/USDT,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UOS/USDT,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VET/USDT,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
POL/USDT,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: POL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ROUTE/USDT,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UNI/USDT,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRO/USDT,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UOS/USDT,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ROUTE/USDT,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SOL/USDT,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
OM/USDT,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UOS/USDT,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VET/USDT,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SWAP/USDT,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SWAP/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
OM/USDT,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: OM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SOL/USDT,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ONE/USDT,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ONE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
SOL/USDT,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: SOL/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FET/USDT,V2: FET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
VET/USDT,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: VET/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ROUTE/USDT,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ROUTE/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UNI/USDT,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UNI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRO/USDT,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
BCH/USDT,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: BCH/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
UOS/USDT,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: UOS/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
ADA/USDT,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: ADA/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
WOO/USDT,V2: WOO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: WOO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
FRM/USDT,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: FRM/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
MIX/USDT,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: MIX/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
COTI/USDT,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: COTI/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRO/USDT,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRO/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
CRV/USDT,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,V2: CRV/USDT | Abortado: No se pudo cargar config de Balance para binance.,ERROR_PROCESAMIENTO_V2
